event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,mlflow_run_id,mlflow_model_uri
changes_in_companys_own_shares,en,5.123500620692911,0.06574972358345821,1.4447907043654138,2.2635151028197074,226,900,1126,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_regression.joblib,a223d0b1c51348a8bdffd3b364618ee3,runs:/a223d0b1c51348a8bdffd3b364618ee3/model
government_news,en,1.7672022197923376,0.017010827602364387,0.8973481067006889,1.3293615835401358,12,48,60,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\government_news_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\government_news_tfidf_vectorizer_regression.joblib,d7a936d543234c1fba4d8382bcfd7cf2,runs:/d7a936d543234c1fba4d8382bcfd7cf2/model
changes_in_share_capital_and_votes,en,2.2725235570413407,0.004785849272432752,1.0480932673050516,1.5074891565252935,18,70,88,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_share_capital_and_votes_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_share_capital_and_votes_tfidf_vectorizer_regression.joblib,99853af19c34491c85f3df2adeb92929,runs:/99853af19c34491c85f3df2adeb92929/model
corporate_action,en,5.8199704161611265,-0.003443551276044454,1.5457416512975275,2.4124614849072983,86,343,429,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_regression.joblib,2fbeb12ed2644e96bf801bc13f451c00,runs:/2fbeb12ed2644e96bf801bc13f451c00/model
financing_agreements,en,5.837834749152379,-0.005562390166085507,1.5958456370174063,2.416161159598502,70,276,346,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_regression.joblib,74c01a78e3a7478496e30bd738f41d6d,runs:/74c01a78e3a7478496e30bd738f41d6d/model
share_capital_increase,en,12.381592406795718,-0.05621578408725392,2.6622021258853525,3.5187486990115846,16,64,80,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_regression.joblib,f56a686049ba47f08aab6fdb6c13fd5f,runs:/f56a686049ba47f08aab6fdb6c13fd5f/model
major_shareholder_announcements,en,7.530088129145334,-0.05822734971525656,1.797448319682019,2.7441006047784278,69,272,341,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_tfidf_vectorizer_regression.joblib,9107a49f11ed492ab69500395e9df12d,runs:/9107a49f11ed492ab69500395e9df12d/model
warrants_and_certificates,en,5.063454324556495,-0.06522037942929981,1.2347260235068478,2.250212062130255,8,30,38,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\warrants_and_certificates_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\warrants_and_certificates_tfidf_vectorizer_regression.joblib,14676cd0479742f0aae3a4baa7d3d0b6,runs:/14676cd0479742f0aae3a4baa7d3d0b6/model
prospectus_announcement,en,8.156122613349204,-0.12542625927086948,1.9947762075293094,2.8558926123629376,23,89,112,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_regression.joblib,74620691279b435f89891fc4f06bd092,runs:/74620691279b435f89891fc4f06bd092/model
bankruptcy,en,6.347887132858615,-0.12633442815485618,1.9650892767826202,2.5195013659171956,7,25,32,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bankruptcy_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bankruptcy_tfidf_vectorizer_regression.joblib,a032faf37a724e618eab0e0f3fcd0868,runs:/a032faf37a724e618eab0e0f3fcd0868/model
