event_name,language,mlflow_run_id,mlflow_model_uri,model_filename,vectorizer_filename,accuracy,precision,recall,f1_score,auc_roc
product_services_announcement,en,55717939d4634dc59a0637ce19f6fe3d,runs:/55717939d4634dc59a0637ce19f6fe3d/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_binary.joblib,0.6904761904761905,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.8099489795918368
financial_results,en,ee5264d7370b4cc0ba94f767c97c9fe6,runs:/ee5264d7370b4cc0ba94f767c97c9fe6/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_tfidf_vectorizer_binary.joblib,0.6878612716763006,0.7936507936507936,0.5494505494505495,0.6493506493506493,0.8239748056821228
exchange_announcement,en,bf8116696d4d4d6d91a007441197fcef,runs:/bf8116696d4d4d6d91a007441197fcef/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_binary.joblib,0.68,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.8449675324675324
management_changes,en,9d6dec09ae8f43fca142be70d1673012,runs:/9d6dec09ae8f43fca142be70d1673012/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_binary.joblib,0.6788990825688074,0.6428571428571429,0.7058823529411765,0.6728971962616822,0.7537187288708587
press_releases,en,3af604c54b9f4702a67016889164f9a0,runs:/3af604c54b9f4702a67016889164f9a0/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_binary.joblib,0.6744186046511628,0.6538461538461539,0.7727272727272727,0.7083333333333334,0.7164502164502164
bond_fixing,en,be8633e2276c4a67a3ea1f151598b925,runs:/be8633e2276c4a67a3ea1f151598b925/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_binary.joblib,0.6704545454545454,0.5849056603773585,0.8157894736842105,0.6813186813186813,0.7636842105263157
shares_issue,en,212e6389081d43c0aa034950e1c83340,runs:/212e6389081d43c0aa034950e1c83340/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_tfidf_vectorizer_binary.joblib,0.6666666666666666,0.6976744186046512,0.7692307692307693,0.7317073170731707,0.7811016144349477
corporate_action,en,5d114f89ce784dd8ad13c1924cba2f2c,runs:/5d114f89ce784dd8ad13c1924cba2f2c/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_binary.joblib,0.6627906976744186,0.5434782608695652,0.7575757575757576,0.6329113924050633,0.7761578044596913
prospectus_announcement,en,57eeb6c28cbb428a9bf7b6a4b13ab93b,runs:/57eeb6c28cbb428a9bf7b6a4b13ab93b/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_binary.joblib,0.6521739130434783,1.0,0.42857142857142855,0.6,0.9206349206349207
financial_calendar,en,89958ee7a32444c19e9c509264db8c42,runs:/89958ee7a32444c19e9c509264db8c42/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_calendar_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_calendar_tfidf_vectorizer_binary.joblib,0.64,0.9375,0.46875,0.625,0.8342013888888887
