event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct,mlflow_run_id,mlflow_model_uri
major_shareholder_announcements,en,0.6956521739130435,0.6136363636363636,0.8709677419354839,0.72,0.7432088285229203,69,272,341,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_tfidf_vectorizer_binary.joblib,87.09677419354838,55.26315789473685,31,38,27,21,63.76811594202898,36.231884057971016,f8587b7ba0ef4230bb7a837dce3a984d,runs:/f8587b7ba0ef4230bb7a837dce3a984d/model
annual_report,en,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095,13,48,61,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_report_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_report_tfidf_vectorizer_binary.joblib,66.66666666666666,71.42857142857143,6,7,4,5,46.15384615384615,53.84615384615385,eb96b870300d4b4881f02bd8f1c6a15e,runs:/eb96b870300d4b4881f02bd8f1c6a15e/model
product_services_announcement,en,0.6904761904761905,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.8099489795918368,42,168,210,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_binary.joblib,28.57142857142857,89.28571428571429,14,28,4,25,16.666666666666664,83.33333333333334,55717939d4634dc59a0637ce19f6fe3d,runs:/55717939d4634dc59a0637ce19f6fe3d/model
financial_results,en,0.6878612716763006,0.7936507936507936,0.5494505494505495,0.6493506493506493,0.8239748056821228,173,690,863,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_tfidf_vectorizer_binary.joblib,54.94505494505495,84.14634146341463,91,82,50,69,36.41618497109826,63.58381502890174,ee5264d7370b4cc0ba94f767c97c9fe6,runs:/ee5264d7370b4cc0ba94f767c97c9fe6/model
exchange_announcement,en,0.68,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.8449675324675324,50,199,249,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_binary.joblib,53.57142857142857,86.36363636363636,28,22,15,19,36.0,64.0,bf8116696d4d4d6d91a007441197fcef,runs:/bf8116696d4d4d6d91a007441197fcef/model
management_changes,en,0.6788990825688074,0.6428571428571429,0.7058823529411765,0.6728971962616822,0.7537187288708587,109,432,541,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_binary.joblib,70.58823529411765,65.51724137931035,51,58,36,38,51.37614678899083,48.62385321100918,9d6dec09ae8f43fca142be70d1673012,runs:/9d6dec09ae8f43fca142be70d1673012/model
press_releases,en,0.6744186046511628,0.6538461538461539,0.7727272727272727,0.7083333333333334,0.7164502164502164,43,172,215,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_binary.joblib,77.27272727272727,57.14285714285714,22,21,17,12,60.46511627906976,39.53488372093023,3af604c54b9f4702a67016889164f9a0,runs:/3af604c54b9f4702a67016889164f9a0/model
bond_fixing,en,0.6704545454545454,0.5849056603773585,0.8157894736842105,0.6813186813186813,0.7636842105263157,88,348,436,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_binary.joblib,81.57894736842105,56.00000000000001,38,50,31,28,60.22727272727273,39.77272727272727,be8633e2276c4a67a3ea1f151598b925,runs:/be8633e2276c4a67a3ea1f151598b925/model
shares_issue,en,0.6666666666666666,0.6976744186046512,0.7692307692307693,0.7317073170731707,0.7811016144349477,66,261,327,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_tfidf_vectorizer_binary.joblib,76.92307692307693,51.85185185185185,39,27,30,14,65.15151515151516,34.84848484848485,212e6389081d43c0aa034950e1c83340,runs:/212e6389081d43c0aa034950e1c83340/model
corporate_action,en,0.6627906976744186,0.5434782608695652,0.7575757575757576,0.6329113924050633,0.7761578044596913,86,343,429,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_binary.joblib,75.75757575757575,60.37735849056604,33,53,25,32,53.48837209302325,46.51162790697674,5d114f89ce784dd8ad13c1924cba2f2c,runs:/5d114f89ce784dd8ad13c1924cba2f2c/model
